gene_name	ensembl_transcript	refseq_transcript
PRDM16	ENST00000270722	NM_022114.4
PEX10	ENST00000447513	NM_002617.4
PEX14	ENST00000356607	NM_004565.3
PLCH2	ENST00000378486	NM_014638.4
SPSB1	ENST00000328089	NM_025106.4
SLC2A5	ENST00000377424	NM_003039.3
NMNAT1	ENST00000377205	NM_022787.4
DISP3	ENST00000294484	NM_020780.2
MMEL1	ENST00000378412	NM_033467.4
TMEM51	ENST00000376008	NM_001136218.2
FBXO42	ENST00000375592	NM_018994.3
ALDH4A1	ENST00000375341	NM_003748.4
RER1	ENST00000605895	NM_007033.5
PANK4	ENST00000378466	NM_018216.4
VPS13D	ENST00000620676	NM_015378.4
RBP7	ENST00000294435	NM_052960.3
GPR157	ENST00000377411	NM_024980.5
ZBTB40	ENST00000375647	NM_014870.4
NPHP4	ENST00000378156	NM_015102.5
HES5	ENST00000378453	NM_001010926.4
SZRD1	ENST00000401088	NM_001114600.3
PHACTR4	ENST00000373839	NM_001048183.3
SLC9A1	ENST00000263980	NM_003047.5
LDLRAP1	ENST00000374338	NM_015627.3
PAFAH2	ENST00000374282	NM_000437.4
AJAP1	ENST00000378191	NM_018836.4
PTAFR	ENST00000373857	NM_000952.5
SLC25A33	ENST00000302692	NM_032315.3
GJB3	ENST00000373366	NM_024009.3
EYA3	ENST00000373871	NM_001990.4
EPHA2	ENST00000358432	NM_004431.5
ARHGEF19	ENST00000270747	NM_153213.5
KAZN	ENST00000376030	NM_201628.3
TNFRSF1B	ENST00000376259	NM_001066.3
UBE4B	ENST00000343090	NM_001105562.3
PLA2G5	ENST00000375108	NM_000929.3
PTPRU	ENST00000373779	NM_133178.4
ZMYM6	ENST00000357182	NM_007167.4
GJB5	ENST00000338513	NM_005268.4
AGO4	ENST00000373210	NM_017629.4
CPLANE2	ENST00000375599	NM_030907.4
ZBTB8B	ENST00000609129	NM_001145720.2
PAX7	ENST00000420770	NM_001135254.2
CASZ1	ENST00000377022	NM_001079843.3
DNALI1	ENST00000652629	NM_003462.5
RRAGC	ENST00000373001	NM_022157.4
GRIK3	ENST00000373091	NM_000831.4
PLA2G2D	ENST00000375105	NM_012400.4
GUCA2B	ENST00000372581	NM_007102.3
RCC2	ENST00000375436	NM_018715.4
PSMB2	ENST00000373237	NM_002794.5
THRAP3	ENST00000354618	NM_005119.4
PADI6	ENST00000619609	NM_207421.4
PADI4	ENST00000375448	NM_012387.3
RHBDL2	ENST00000372990	NM_017821.5
CFAP144	ENST00000335282	NM_001101376.3
ZMYM4	ENST00000314607	NM_005095.3
C1orf216	ENST00000270815	NM_152374.2
ACTL8	ENST00000375406	NM_030812.3
RLF	ENST00000372771	NM_012421.4
CLSPN	ENST00000318121	NM_022111.4
