gene_name	ensembl_transcript	refseq_transcript
AR	ENST00000374690	NM_000044
BTK	ENST00000308731	NM_000061
CDKN2A	ENST00000304494	NM_000077
EPOR	ENST00000222139	NM_000121
ESR1	ENST00000206249	NM_000125
FGFR2	ENST00000358487	NM_000141
FGFR3	ENST00000440486	NM_000142
JAK3	ENST00000458235	NM_000215
KIT	ENST00000288135	NM_000222
MET	ENST00000397752	NM_000245
PTCH1	ENST00000331920	NM_000264
NME1	ENST00000393196	NM_000269
RAG1	ENST00000299440	NM_000448
GNAS	ENST00000371085	NM_000516
RAG2	ENST00000311485	NM_000536
CD44	ENST00000428726	NM_000610
CD79B	ENST00000006750	NM_000626
BCL2	ENST00000333681	NM_000633
CSF1	ENST00000329608	NM_000757
DCK	ENST00000286648	NM_000788
PGR	ENST00000325455	NM_000926
RARA	ENST00000254066	NM_000964
SS18	ENST00000415083	NM_001007559
MYBL1	ENST00000522677	NM_001080416
NUTM2A	ENST00000381707	NM_001099338
BCOR	ENST00000378444	NM_001123385
YAP1	ENST00000282441	NM_001130145
MYB	ENST00000341911	NM_001130173
BIRC3	ENST00000263464	NM_001165
MEAF6	ENST00000296214	NM_001270875
NUTM2B	ENST00000429828	NM_001278495
EIF4A1	ENST00000293831	NM_001416
ID4	ENST00000378700	NM_001546
ACVR2A	ENST00000241416	NM_001616
ARAF	ENST00000377045	NM_001654
RHOA	ENST00000418115	NM_001664
BCL6	ENST00000406870	NM_001706
BMP7	ENST00000395863	NM_001719
CCND2	ENST00000261254	NM_001759
CCND3	ENST00000372991	NM_001760
ENTPD1	ENST00000371205	NM_001776
CDC25A	ENST00000302506	NM_001789
CEBPE	ENST00000206513	NM_001805
CEBPG	ENST00000284000	NM_001806
ERBB3	ENST00000267101	NM_001982
ETV6	ENST00000396373	NM_001987
FOXO1	ENST00000379561	NM_002015
FLT1	ENST00000282397	NM_002019
GATA1	ENST00000376670	NM_002049
IRF8	ENST00000268638	NM_002163
IDH2	ENST00000330062	NM_002168
IL7R	ENST00000303115	NM_002185
